,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
7228,90859,Lillian Emily Palmer (-Alderson),F,19.0,170.47480435197556,63.219377897990725,Canada,CAN,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,1
7229,90914,Marja-Helena Plvil,F,27.0,176.0,70.0,Finland,FIN,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,1
7230,90936,Pan Feihong,F,27.0,173.0,57.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,1
7231,90937,Pan Fengzhen,F,23.0,176.0,64.0,China,CHN,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,1
7232,90983,Liudmyla Mykhailivna Panchuk (-Kolomiyets),F,20.0,173.0,71.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Handball,Handball Women's Handball,1
7233,91038,Pang Jiaying,F,19.0,178.0,64.0,China,CHN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,1
7234,91038,Pang Jiaying,F,23.0,178.0,64.0,China,CHN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Freestyle,1
7235,91038,Pang Jiaying,F,23.0,178.0,64.0,China,CHN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,1
7236,91038,Pang Jiaying,F,23.0,178.0,64.0,China,CHN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,1
7237,91040,Pang Qing,F,30.0,160.0,46.0,China-2,CHN,2010 Winter,2010,Winter,Vancouver,Figure Skating,Figure Skating Mixed Pairs,1
7238,91077,Aleksandra Yuryevna Pankina,F,24.0,170.47480435197556,63.219377897990725,Belarus,BLR,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Women's Coxed Eights,1
7239,91112,Kharikleia Pantazi,F,15.0,164.0,41.0,Greece,GRE,2000 Summer,2000,Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,1
7240,91130,Michelle Ann Panter,F,28.0,170.0,66.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,1
7241,91146,Yekaterina Andreyevna Pantyulina-Lisunova,F,26.0,175.0,64.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,1
7242,91203,Sofia Papadopoulou,F,24.0,166.0,65.0,Greece,GRE,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's Three Person Keelboat,1
7243,91310,Ioana Cristina Papuc-Rotaru,F,20.0,183.0,79.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,1
7244,91310,Ioana Cristina Papuc-Rotaru,F,24.0,183.0,79.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,1
7245,91318,Karen Paquin,F,29.0,172.0,70.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,1
7246,91344,Svetlana Vyacheslavovna Paramygina,F,28.0,164.0,60.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,1
7247,91352,"Constance Anne ""Connie"" Paraskevin-Young",F,27.0,160.0,55.0,United States,USA,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Women's Sprint,1
7248,91381,"Jennifer ""Jenny"" Pareja Lisalde",F,28.0,174.0,63.0,Spain,ESP,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,1
7249,91398,Paula Beln Pareto,F,22.0,150.0,48.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Extra-Lightweight,1
7250,91398,Paula Beln Pareto,F,30.0,150.0,48.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,1
7251,91457,Park Chan-Suk,F,25.0,191.0,75.0,South Korea,KOR,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Women's Basketball,1
7252,91481,Park Gap-Suk,F,21.0,170.47480435197556,63.219377897990725,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Handball,Handball Women's Handball,1
7253,91504,Park Hae-Jeong,F,23.0,170.47480435197556,63.219377897990725,South Korea-1,KOR,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Women's Doubles,1
7254,91514,Park Hye-Won,F,18.0,165.0,56.0,South Korea,KOR,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",1
7255,91521,Park In-Bee,F,28.0,168.0,65.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Women's Individual,1
7256,91535,Park Jeong-Hui,F,33.0,175.0,65.0,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,1
7257,91538,Park Jeong-Rim,F,21.0,170.47480435197556,63.219377897990725,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Handball,Handball Women's Handball,1
7258,91538,Park Jeong-Rim,F,25.0,170.47480435197556,63.219377897990725,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Handball,Handball Women's Handball,1
7259,91563,Park Mi-Geum,F,20.0,173.0,66.0,South Korea,KOR,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Women's Volleyball,1
7260,91570,Park Mi-Yeong,F,26.0,161.0,56.0,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Women's Team,1
7261,91596,Park Seong-Hyeon,F,21.0,170.0,72.0,South Korea,KOR,2004 Summer,2004,Summer,Athina,Archery,Archery Women's Individual,1
