ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
67046,Larysa Semenivna Latynina (Diriy-),F,21,161,52,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Individual All-Around,Gold
67046,Larysa Semenivna Latynina (Diriy-),F,21,161,52,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Team All-Around,Gold
67046,Larysa Semenivna Latynina (Diriy-),F,21,161,52,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Team Portable Apparatus,Bronze
67046,Larysa Semenivna Latynina (Diriy-),F,21,161,52,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Floor Exercise,Gold
67046,Larysa Semenivna Latynina (Diriy-),F,21,161,52,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Horse Vault,Gold
67046,Larysa Semenivna Latynina (Diriy-),F,21,161,52,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Uneven Bars,Silver
67046,Larysa Semenivna Latynina (Diriy-),F,25,161,52,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Individual All-Around,Gold
67046,Larysa Semenivna Latynina (Diriy-),F,25,161,52,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Team All-Around,Gold
67046,Larysa Semenivna Latynina (Diriy-),F,25,161,52,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Floor Exercise,Gold
67046,Larysa Semenivna Latynina (Diriy-),F,25,161,52,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Horse Vault,Bronze
67046,Larysa Semenivna Latynina (Diriy-),F,25,161,52,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Uneven Bars,Silver
67046,Larysa Semenivna Latynina (Diriy-),F,25,161,52,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Balance Beam,Silver
67046,Larysa Semenivna Latynina (Diriy-),F,29,161,52,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Individual All-Around,Silver
67046,Larysa Semenivna Latynina (Diriy-),F,29,161,52,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Gold
67046,Larysa Semenivna Latynina (Diriy-),F,29,161,52,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise,Gold
67046,Larysa Semenivna Latynina (Diriy-),F,29,161,52,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,Silver
67046,Larysa Semenivna Latynina (Diriy-),F,29,161,52,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Uneven Bars,Bronze
67046,Larysa Semenivna Latynina (Diriy-),F,29,161,52,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,Bronze
67049,Heike Ltzsch (-Wedekind),F,18,173,53,Germany,GER,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Women's Hockey,Silver
67049,Heike Ltzsch (-Wedekind),F,30,173,53,Germany,GER,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Gold
67052,Jutta Lau,F,20,175,65,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
67052,Jutta Lau,F,24,175,65,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
67066,Simone Laudehr,F,22,175,56,Germany,GER,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Bronze
67066,Simone Laudehr,F,30,175,56,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
67075,Hilde Lauer (-Ttaru),F,21,160,63,Romania,ROU,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
67075,Hilde Lauer (-Ttaru),F,21,160,63,Romania,ROU,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
67084,Hildrun Laufer-Claus,F,21,172,66,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's Long Jump,Bronze
67104,Danile Laumann,F,23,180,75,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Double Sculls,Bronze
67105,Silken Suzette Laumann (-Wallace),F,19,180,72,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Double Sculls,Bronze
67105,Silken Suzette Laumann (-Wallace),F,27,180,72,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Single Sculls,Bronze
67105,Silken Suzette Laumann (-Wallace),F,31,180,72,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Women's Single Sculls,Silver
67143,"Martha Johanna Petronella ""Marty"" Laurijsen",F,30,163,46,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Eights,Bronze
